ID,V2,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
243,1.1,5.5,2.5,2.7,7.4,47.0,5.3,0.0,1.0,0.0,1.0,3.0
244,3.8,4.9,3.4,2.6,6.0,48.04782167836069,4.2,0.0,1.0,1.0,1.0,2.0
246,1.4,5.1466666666666665,2.6,2.3,6.8,45.0,4.9,0.0,1.0,0.0,0.0,2.0
247,2.5,6.2,3.3,3.9,7.3,59.0,6.0,0.0,1.0,0.0,0.0,3.0
248,2.854603446796429,5.3,3.0,2.5,7.1,46.0,4.5,1.0,0.0,1.0,0.0,2.0
249,2.1443326593294465,3.7,3.5,1.9,4.8,58.0,4.3,0.0,1.0,0.0,0.0,3.0
250,3.7,5.2,3.0,2.3,9.1,49.0,4.8,1.0,0.0,1.0,1.0,2.0
251,3.2,5.3,3.1,3.0,8.0,43.0,3.3,1.0,0.0,1.0,0.0,1.0
252,3.8,6.9,3.3,3.2,8.2,53.0,5.0,0.0,1.0,1.0,0.0,3.0
253,2.0,5.9,3.7,2.4,4.6,60.0,6.1,0.0,1.0,0.0,0.0,3.0
254,3.7,5.7,3.5,3.4,8.4,47.0,3.8,1.0,0.0,1.0,0.0,1.0
255,1.0,3.4,1.7,1.1,6.2,35.0,4.1,1.0,0.0,1.0,0.0,1.0
256,3.3,4.5,2.5,2.4,7.6,39.0,3.6,1.0,0.0,1.0,1.0,1.0
257,3.4552449915944035,5.8,3.7,2.5,9.3,44.0,4.8,1.0,0.0,1.0,1.0,2.0
258,0.9,5.4,2.4,2.6,7.3,46.0,5.1,0.0,1.0,0.0,1.0,3.0
259,2.1,5.4,1.1,2.6,8.9,29.0,3.9,1.0,0.0,1.0,1.0,1.0
260,2.0,4.5,2.1,2.2,8.8,28.0,3.3,1.0,0.0,1.0,1.0,1.0
262,2.2,3.1,4.0,1.6,5.3,55.0,3.9,0.0,1.0,0.0,1.0,3.0
264,1.3,4.5,3.3,2.7,7.3,60.0,5.1,0.0,1.0,0.0,1.0,3.0
265,2.0,6.6,2.4,2.7,8.2,41.0,4.1,1.0,0.0,1.0,0.0,1.0
266,2.4,4.9,3.2,2.7,8.5,49.0,5.2,0.0,1.0,0.0,1.0,2.0
267,0.8,5.1466666666666665,2.2,2.6,5.3,42.0,5.1,0.0,1.0,0.0,0.0,2.0
268,2.6,3.3,2.9,1.5,5.2,47.0,4.798333333333333,0.0,1.0,0.0,1.0,3.0
269,1.9,4.5,1.5,3.1,9.9,39.0,3.3,1.0,0.0,1.0,1.0,1.0
270,1.6,4.6,3.1,2.1,6.8,56.0,5.1,0.0,1.0,0.0,0.0,3.0
